match_id,match_number,date,team,opponent,is_home,goals_for,goals_against,result,points,xg,pass_completion_pct,completed_line_breaks,defensive_line_breaks,final_third_receptions,crosses,ball_progressions,forced_turnovers,second_balls,distance_km,zone4_sprint_km,attempts,attempts_on_target,total_passes,completed_passes,defensive_pressures,direct_pressures,possession_pct,possession_contest_pct,xg_against,attempts_against,attempts_on_target_against,source_url,pdf_file
2026_M030,30,2026-06-19 00:00:00,Scotland,Morocco,True,0,1,L,0,0.74,88,87,5,77,13,26,39,49,117.8,5.9,6,0,460,403,304,36,39.1,6.1,0.8,12,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M30-SCO-V-MAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M030_PMSR-M30-SCO-V-MAR.pdf
2026_M031,31,2026-06-19 00:00:00,Paraguay,Türkiye,False,1,0,W,3,0.36,54,45,3,40,9,17,50,61,117.0,6.3,7,2,171,92,367,69,19.2,13.1,2.13,32,5,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M031_PMSR-M31-TUR-V-PAR.pdf
2026_M031,31,2026-06-19 00:00:00,Türkiye,Paraguay,True,0,1,L,0,2.13,89,153,17,319,45,43,41,92,123.3,5.4,32,5,666,594,101,36,67.7,13.1,0.36,7,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M31-TUR-V-PAR.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M031_PMSR-M31-TUR-V-PAR.pdf
2026_M032,32,2026-06-19 00:00:00,Australia,USA,False,0,2,L,0,0.31,77,71,11,89,20,31,40,70,112.8,6.2,5,2,308,238,262,40,30.3,13.7,1.58,10,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M032_PMSR-M32-USA-V-AUS.pdf
2026_M032,32,2026-06-19 00:00:00,USA,Australia,True,2,0,W,3,1.58,88,95,17,126,15,33,39,65,111.1,5.5,10,2,531,465,167,50,56.0,13.7,0.31,5,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M32-USA-V-AUS.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M032_PMSR-M32-USA-V-AUS.pdf
2026_M033,33,2026-06-20 00:00:00,Côte d'Ivoire,Germany,False,1,2,L,0,1.27,86,92,9,92,12,50,43,60,113.1,5.3,9,2,449,387,316,57,41.2,9.3,2.47,16,7,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M033_PMSR-M33-GER-V-CIV.pdf
2026_M033,33,2026-06-20 00:00:00,Germany,Côte d'Ivoire,True,2,1,W,3,2.47,91,133,13,215,20,28,47,69,125.8,7.6,16,7,634,578,293,59,49.5,9.3,1.27,9,2,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M33-GER-V-CIV.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M033_PMSR-M33-GER-V-CIV.pdf
2026_M034,34,2026-06-20 00:00:00,Curaçao,Ecuador,False,0,0,D,1,0.63,70,59,1,50,1,31,35,60,106.1,5.2,10,3,237,167,345,50,23.4,10.8,2.76,27,15,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M034_PMSR-M34-ECU-V-CUW.pdf
2026_M034,34,2026-06-20 00:00:00,Ecuador,Curaçao,True,0,0,D,1,2.76,91,125,19,238,33,41,43,92,103.7,5.4,27,15,663,601,155,49,65.8,10.8,0.63,10,3,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M34-ECU-V-CUW.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M034_PMSR-M34-ECU-V-CUW.pdf
2026_M035,35,2026-06-20 00:00:00,Netherlands,Sweden,True,5,1,W,3,2.25,89,96,14,97,19,25,47,54,108.4,5.5,10,7,447,398,232,38,48.2,8.5,1.3,16,8,https://www.fifatrainingcentre.com/media/native/tournaments/fifa-world-cup/2026/PMSR-M35-NED-V-SWE.pdf,/Users/kyle/Documents/MyProjects/WorldCupPrediction/data/raw/fifa_reports/M035_PMSR-M35-NED-V-SWE.pdf
