team,rating,matches,recent_matches,recent_points_per_match,recent_goals_for,recent_goals_against,recent_result_weight,weighted_recent_points_per_match,weighted_recent_goals_for,weighted_recent_goals_against,weighted_recent_goal_diff,report_matches,xg_for_2026,xg_against_2026,attempts_for_2026,attempts_against_2026,on_target_for_2026,on_target_against_2026,possession_pct_2026,statsbomb_matches,statsbomb_xg_for,statsbomb_xg_against,statsbomb_shots_for,statsbomb_shots_against,statsbomb_on_target_for,xg_for_2026_shrunk,xg_against_2026_shrunk,statsbomb_xg_for_shrunk,statsbomb_xg_against_shrunk
Congo,1359.2249706250525,406,12,0.5,0.75,2.3333333333333335,5.413695503487,0.5506810919556753,0.7569100850977931,2.0257946161127793,-1.2688845310149863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Cyprus,1357.608976434883,426,12,1.0833333333333333,1.5,1.5833333333333333,14.187453417854147,1.074824980513856,1.2695900475735589,1.779636158476126,-0.5100461109025671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Martin,1353.249502485306,68,12,1.25,1.4166666666666667,1.9166666666666667,6.932798334988479,1.57983118095436,1.8414460665793253,1.6102444454215528,0.23120162115777237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Singapore,1353.2108392001182,696,12,1.5,1.5833333333333333,1.1666666666666667,13.578649383280547,1.3561893061489376,1.5706202958130229,1.6198291949555628,-0.04920889914254012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Darfur,1352.993888547809,7,7,0.0,0.14285714285714285,14.142857142857142,0.0010748510303648774,0.0,0.05293176968809063,14.82301328261465,-14.770081512926557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Wallis Islands and Futuna,1352.6686287706282,24,12,0.5,1.0833333333333333,5.333333333333333,2.1462512139013112e-09,0.04928060939241192,0.5430092340120539,8.798630374648509,-8.255621140636455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Yemen,1347.9887041087122,266,12,1.5833333333333333,2.5,1.0833333333333333,7.262734680115946,1.480848094930196,2.4171297658126747,1.26062324237453,1.1565065234381449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Belize,1337.0908941455918,121,12,1.3333333333333333,1.5833333333333333,2.25,9.00832647848559,1.1950449300838206,1.493362857971243,2.0189404395707022,-0.5255775815994593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Kiribati,1332.9471436680844,11,11,0.09090909090909091,0.6363636363636364,11.454545454545455,0.00013444075067677017,5.745764509575726e-11,0.5018801637104993,11.51289458709671,-11.011014423386209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Malta,1331.4312966264417,458,12,0.9166666666666666,0.9166666666666666,2.1666666666666665,12.20244623884432,1.0699495214443164,0.9256434280421496,1.8590846194570811,-0.9334411914149315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Eswatini,1328.1133095545908,274,12,0.4166666666666667,0.5833333333333334,2.1666666666666665,8.245256355093428,0.6109458810420526,0.742508004204865,1.8054524926835134,-1.0629444884786485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Saint Kitts and Nevis,1323.114241968111,226,12,1.0833333333333333,1.8333333333333333,2.8333333333333335,11.222830751066882,1.372638225081619,1.707597277285358,2.255035986917546,-0.5474387096321877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Samoa,1318.341739773685,71,12,1.25,1.3333333333333333,2.6666666666666665,3.29281121062244,1.1807485016584234,1.5734959384538905,2.7164619813981847,-1.1429660429442943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Grenada,1317.5238644488784,260,12,1.3333333333333333,1.5,2.0833333333333335,11.049624487523008,1.069753974982604,1.2318246403162563,2.113736091701663,-0.881911451385407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Tibet,1315.7950097026792,21,12,0.4166666666666667,2.3333333333333335,5.416666666666667,1.329130878457304,0.05242571611479156,2.134623423378388,4.694363539226171,-2.5597401158477826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Latvia,1313.3662743950408,461,12,0.6666666666666666,0.5,1.4166666666666667,12.599812081645744,0.7043657408886395,0.6458809856468121,1.5246229374633613,-0.8787419518165492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Lithuania,1311.6265022225173,433,12,0.5833333333333334,0.5833333333333334,1.75,14.228498278772475,0.6578414661043392,0.6898525044997839,1.5813360683707955,-0.8914835638710118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
India,1299.4722384007046,534,12,0.5833333333333334,0.6666666666666666,1.25,12.340165139782323,0.6723299679865185,0.680014577988058,1.3137596997069447,-0.6337451217188866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
Moldova,1298.258897435433,299,12,0.25,0.75,3.0,14.104641211816901,0.7016404283545576,0.9241766607920562,2.3559098697805574,-1.4317332089885013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,1.28,1.28,1.28
