source,match_id,date,competition,season,team,opponent,is_home,statsbomb_shots,statsbomb_xg,statsbomb_goals,statsbomb_on_target,statsbomb_xg_against,statsbomb_shots_against
StatsBomb Open Data,3938642,2024-06-22,UEFA Euro,2024,Georgia,Czechia,True,5,1.179922648,1,1,2.8654523907000007,27
StatsBomb Open Data,3938642,2024-06-22,UEFA Euro,2024,Czechia,Georgia,False,27,2.8654523907000007,1,11,1.179922648,5
StatsBomb Open Data,3930174,2024-06-22,UEFA Euro,2024,Türkiye,Portugal,True,11,0.7789868169999999,0,3,1.901227116,12
StatsBomb Open Data,3930174,2024-06-22,UEFA Euro,2024,Portugal,Türkiye,False,12,1.901227116,2,3,0.7789868169999999,11
StatsBomb Open Data,3930175,2024-06-22,UEFA Euro,2024,Belgium,Romania,True,20,1.6458169259999995,2,9,1.246037035,14
StatsBomb Open Data,3930175,2024-06-22,UEFA Euro,2024,Romania,Belgium,False,14,1.246037035,0,4,1.6458169259999995,20
StatsBomb Open Data,3939969,2024-06-21,Copa America,2024,Argentina,Canada,True,19,3.538291301,2,8,0.977299485,10
StatsBomb Open Data,3939969,2024-06-21,Copa America,2024,Canada,Argentina,False,10,0.977299485,0,2,3.538291301,19
StatsBomb Open Data,3938641,2024-06-21,UEFA Euro,2024,Poland,Austria,True,15,1.4380920370000003,1,3,1.821698256,15
StatsBomb Open Data,3938641,2024-06-21,UEFA Euro,2024,Austria,Poland,False,15,1.821698256,3,9,1.4380920370000003,15
StatsBomb Open Data,3938640,2024-06-21,UEFA Euro,2024,Slovakia,Ukraine,True,14,0.7461385425,1,5,1.7316552805,13
StatsBomb Open Data,3938640,2024-06-21,UEFA Euro,2024,Ukraine,Slovakia,False,13,1.7316552805,2,5,0.7461385425,14
StatsBomb Open Data,3930173,2024-06-21,UEFA Euro,2024,Netherlands,France,True,9,0.7381833019999999,0,4,1.2184023685000005,15
StatsBomb Open Data,3930173,2024-06-21,UEFA Euro,2024,France,Netherlands,False,15,1.2184023685000005,0,3,0.7381833019999999,9
StatsBomb Open Data,3930170,2024-06-20,UEFA Euro,2024,Slovenia,Serbia,True,12,1.552166038,1,4,1.4613307799999995,15
StatsBomb Open Data,3930170,2024-06-20,UEFA Euro,2024,Serbia,Slovenia,False,15,1.4613307799999995,1,4,1.552166038,12
StatsBomb Open Data,3930171,2024-06-20,UEFA Euro,2024,Denmark,England,True,16,0.733329403,1,7,1.172705295,12
StatsBomb Open Data,3930171,2024-06-20,UEFA Euro,2024,England,Denmark,False,12,1.172705295,1,4,0.733329403,16
StatsBomb Open Data,3930172,2024-06-20,UEFA Euro,2024,Spain,Italy,True,20,1.5338804222,0,8,0.143399362,4
StatsBomb Open Data,3930172,2024-06-20,UEFA Euro,2024,Italy,Spain,False,4,0.143399362,0,1,1.5338804222,20
StatsBomb Open Data,3930169,2024-06-19,UEFA Euro,2024,Scotland,Switzerland,True,12,0.7718825680000001,1,3,0.990153617,11
StatsBomb Open Data,3930169,2024-06-19,UEFA Euro,2024,Switzerland,Scotland,False,11,0.990153617,1,5,0.7718825680000001,12
StatsBomb Open Data,3930167,2024-06-19,UEFA Euro,2024,Croatia,Albania,True,21,1.8585999319999995,1,8,1.3258600050000002,14
StatsBomb Open Data,3930167,2024-06-19,UEFA Euro,2024,Albania,Croatia,False,14,1.3258600050000002,2,7,1.8585999319999995,21
StatsBomb Open Data,3930168,2024-06-19,UEFA Euro,2024,Germany,Hungary,True,19,1.483692844,2,7,1.228033313,11
StatsBomb Open Data,3930168,2024-06-19,UEFA Euro,2024,Hungary,Germany,False,11,1.228033313,0,2,1.483692844,19
StatsBomb Open Data,3930166,2024-06-18,UEFA Euro,2024,Portugal,Czechia,True,19,1.8375108777,1,8,0.314766696,5
StatsBomb Open Data,3930166,2024-06-18,UEFA Euro,2024,Czechia,Portugal,False,5,0.314766696,1,1,1.8375108777,19
StatsBomb Open Data,3938639,2024-06-18,UEFA Euro,2024,Türkiye,Georgia,True,22,2.4034188391999995,3,7,1.57856751,14
